Федерация;Ссылка;Президент;Вице-президент;Генеральный секретарь;Исполнительный директор;Телефоны;Email-адреса;Адрес;Медали
Бадминтон;https://kbf.kz/;Улан Сапарович Байжанов;Толеу Сағат Талгатович;Рахимов Айбек Нурланович;;77172280025;office@kbf.kz, kazbad@mail.ru;г. Астана, проспект Туран 18, Блок А, офис 1005.;
Баскетбол;http://www.nbf.kz;Алпамысов Абай Абдисаметович;Мухамбеткалиев Булат Есетович;Узаков Алмаз Асхатович;;77772976316;info@nbf.kz;Республика Казахстан, 010000, город Астана, проспект Республики 34а, офис 510.;
Биатлон;https://biathlonunion.kz/;Ермек Ануарбекович Кизатов;Кургамбаев Айталап Калабаевич, Елена Владимировна Хрусталева;Усенов Манас Мадиулы;;84889794268;;РК, г. Астана, ул. Туран, 18, офис 202;1 Серебро
Бокс;http://kfb.kz;Муталип Шахмурат;"Акаев Алимжан Убайдаулы ,  Кызайбаев Дархан Еркинович, Дильдабеков Мухтархан Кабланбекович
";Акшалов Мерей Толегенович;Игенев Рауан Еркинович;77172570010;reception@kfb.kz;Республика Казахстан, г. Астана, пр. Туран 18,2 этаж, офис 202;7 Золото, 6  Серебро, 11 Бронза
Борьба;http://wrestling.kz/;Даулет Болатович Турлыханов;"Ушуров Билалдин Талгатович, Дускужанов Асемхан Серканович, 
Котельников Владимир Михайлович
";;;8 (7172) 72 51 88;kaz@united-world-wrestling.org;"РК, г. Астана, пр. Туран 18, блок Б, офис 501 (5 этаж);";1 Золото, 5 Серебро, 10 Бронза
Велоспорт;http://cycling.kz;Раимбек Анварович Баталов;;Жетес Дауренбекович Сулейменов;Гольцман Денис Вячеславович;77172954006;kazcyling@mail.ru, info@cycling.kz;"Тел.: +7(7172) 954 006;";1 Золото, 1 Серебро
Водные виды спорта;http://www.aquatics.kz;Жакупов Нурлан Каршагович;"Абулгазин Данияр Рустэмович, Каскабасов Серик Сеитович,Хасенов
 Ерлан Оразович, Сахариянов Канат Акылбаевич, Баландин Дмитрий Игоревич";Дроздов Сергей Михайлович;Джолдыбаев Руслан Айнабекович;2,31564E+11;office@aquatics.kz;"РК, г. Алматы, пр. Абая 48;";1 Золото
Волейбол;http://www.volley.kz;Такиев Мади Токешович;"Сарсенов Аниятулла Умирзакович,  Сырлыбаев Ермек Амирбекович, 
Павлова Елена Вячеславовна";Ахметов Айдос Нурболович;;1,54355E+11;volleykz@gmail.ru;РК, г. Алматы, пр. Абая 48;
Гандбол;Нет ссылки;Гульнар Исмагуловна Турлыханова; Мустафа Садык Шаймурунович, Медеуов Есенгельды Умыржанович;Дегтярева Валентина Анатольевна;;1,54295E+11;kaz-handbaN@mail.ru, kz_handball@mail.ru;"РК, г. Алматы, ул. Абая, 48 А;";
Гимнастика;http://gymnastics.kz;Алия Махсутовна Юсупова;Даниса Аслжановна Дуйсенгалиева;Раббани Абдукамалович Ашимбеков;;77272923757;gymnastic.kz@mail.ru;"РК, г. Алматы, Абая 48;";1 Серебро
