Column1;Column2;Column3
Федерация;Казахстанская федерация;Международная федерация
Бадминтон;https://kbf.kz/;http://bwfcorporate.com
Баскетбол;http://www.nbf.kz;http://www.fiba.com
Биатлон;https://biathlon.kz;http://www.biathlonworld.com
Бокс;http://kfb.kz;Нет ссылки
Борьба;http://wrestling.kz/;https://unitedworldwrestling.org/
Велоспорт;http://cycling.kz;http://www.uci.ch
Водные виды спорта;http://www.aquatics.kz;http://www.fina.org
Волейбол;http://www.volley.kz;http://www.fivb.com/
Гандбол;Нет ссылки;http://www.ihf.info
Гимнастика;http://gymnastics.kz;http://www.fig-gymnastics.com
Гольф;https://www.kazfedgolf.kz/;http://www.igfgolf.org/
Гребля академическая/гребля на байдарках и каноэ/гребной слалом;Нет ссылки;http://www.worldrowing.com
Дзюдо;http://fdk.kz;http://www.ijf.org/
Каратэ;http://www.kazkarate.net;http://www.wkf.net
Кёрлинг;Нет ссылки;http://www.worldcurling.org
Конный спорт;http://kazequestrian.kz;http://www.fei.org/
Коньковые виды спорта;http://skating.kz;http://www.isu.org
Лёгкая атлетика;https://kazathletics.kz;http://www.iaaf.org/
Лыжные виды спорта;http://ccsf.kz;http://www.fis-ski.com
Настольный теннис;http://www.ttfrk.kz;http://www.ittf.com/
Парусный спорт;Нет ссылки;http://www.sailing.org/
Регби;http://www.kaz-rugby.kz;http://www.worldrugby.org
Санный спорт;Нет ссылки;http://www.fil-luge.org/
Скейтбординг;https://kazskate.kz;https://www.worldskate.org
Современное пятиборье;http://pentathlon.kz;http://www.uipmworld.org
Спортивное скалолазание;https://mountain.kz/ru/;http://www.ifsc-climbing.org
Спортивные танцы;https://www.fstrk.kz;https://www.worlddancesport.org
Стрельба из лука;http://archerykz.kz;https://worldarchery.org/
Стрельба стендовая/пулевая;http://www.shooting-sports.kz;http://www.issf-sports.org
Таеквондо;http://kaztkd.kz;http://www.worldtaekwondo.org/
Теннис;http://www.ktf.kz;http://www.itftennis.com
Триатлон;http://triathlon.org.kz;http://www.triathlon.org
Тяжёлая атлетика;http://wfrk.kz;http://www.iwf.net/
Фехтование;http://www.kazfencing.com;http://www.fie.org/
Фигурное катание;https://kazfsu.kz/;https://www.isu.org/
Футбол;http://www.kff.kz;http://www.fifa.com
Хоккей на траве;Нет ссылки;http://www.fih.ch
Хоккей с шайбой;https://icehockey.kz;http://www.iihf.com//
