√од;јтлет(ы);¬ид спорта;ƒисциплина;ћесто;ћедаль
1994;Andrey Kolotvin;Alpine Skiing;Downhill, Men;43;Ч
1994;Andrey Kolotvin;Alpine Skiing;Combined, Men;29;Ч
1994;Olga Vedyacheva;Alpine Skiing;Downhill, Women;24;Ч
1994;Olga Vedyacheva;Alpine Skiing;Super G, Women;37;Ч
1994;Olga Vedyacheva;Alpine Skiing;Combined, Women;19;Ч
1994;Dmitry Pantov;Biathlon;10 kilometres Sprint, Men;48;Ч
1994;Dmitry Pantov;Biathlon;20 kilometres, Men;51;Ч
1994;Inna Sheshkil;Biathlon;7.5 kilometres Sprint, Women;4;Ч
1994;Inna Sheshkil;Biathlon;15 kilometres, Women;29;Ч
1994;Vladimir Smirnov;Cross Country Skiing;10 kilometres, Men;2;—еребро
1994;Nikolay Ivanov;Cross Country Skiing;10 kilometres, Men;16;Ч
1994;Pavel Ryabinin;Cross Country Skiing;10 kilometres, Men;34;Ч
1994;Andrey Nevzorov;Cross Country Skiing;10 kilometres, Men;37;Ч
1994;Vladimir Smirnov;Cross Country Skiing;30 kilometres, Men;10;Ч
1994;Nikolay Ivanov;Cross Country Skiing;30 kilometres, Men;40;Ч
1994;Andrey Nevzorov;Cross Country Skiing;30 kilometres, Men;42;Ч
1994;Pavel Korolyov;Cross Country Skiing;30 kilometres, Men;53;Ч
1994;Vladimir Smirnov;Cross Country Skiing;50 kilometres, Men;1;«олото
1994;Pavel Ryabinin;Cross Country Skiing;50 kilometres, Men;29;Ч
1994;Sergey Margatsky;Cross Country Skiing;50 kilometres, Men;45;Ч
1994;Nikolay Ivanov;Cross Country Skiing;50 kilometres, Men;50;Ч
1994;Vladimir Smirnov;Cross Country Skiing;10/15 kilometres Pursuit, Men;2;—еребро
1994;Nikolay Ivanov;Cross Country Skiing;10/15 kilometres Pursuit, Men;19;Ч
1994;Pavel Ryabinin;Cross Country Skiing;10/15 kilometres Pursuit, Men;26;Ч
1994;Andrey Nevzorov;Cross Country Skiing;10/15 kilometres Pursuit, Men;31;Ч
1994; омандное соревнование;Cross Country Skiing;4 ? 10 kilometres Relay, Men;9;Ч
1994;Nikolay Ivanov;Cross Country Skiing;4 ? 10 kilometres Relay, Men;Ч;Ч
1994;Pavel Korolyov;Cross Country Skiing;4 ? 10 kilometres Relay, Men;Ч;Ч
1994;Andrey Nevzorov;Cross Country Skiing;4 ? 10 kilometres Relay, Men;Ч;Ч
1994;Pavel Ryabinin;Cross Country Skiing;4 ? 10 kilometres Relay, Men;Ч;Ч
1994;Yelena Volodina;Cross Country Skiing;5 kilometres, Women;33;Ч
1994;Yelena Chernetsova;Cross Country Skiing;5 kilometres, Women;49;Ч
1994;Nataliya Shtaymets;Cross Country Skiing;5 kilometres, Women;52;Ч
1994;Oksana Kotova;Cross Country Skiing;5 kilometres, Women;56;Ч
1994;Oksana Kotova;Cross Country Skiing;15 kilometres, Women;43;Ч
1994;Yelena Volodina;Cross Country Skiing;15 kilometres, Women;47;Ч
1994;Yelena Chernetsova;Cross Country Skiing;15 kilometres, Women;53;Ч
1994;Yelena Volodina;Cross Country Skiing;30 kilometres, Women;21;Ч
1994;Yelena Chernetsova;Cross Country Skiing;30 kilometres, Women;46;Ч
1994;Oksana Kotova;Cross Country Skiing;30 kilometres, Women;47;Ч
1994;Yelena Volodina;Cross Country Skiing;5/10 kilometres Pursuit, Women;38;Ч
1994;Oksana Kotova;Cross Country Skiing;5/10 kilometres Pursuit, Women;48;Ч
1994;Yelena Chernetsova;Cross Country Skiing;5/10 kilometres Pursuit, Women;53;Ч
1994;Nataliya Shtaymets;Cross Country Skiing;5/10 kilometres Pursuit, Women;DNS;Ч
1994; омандное соревнование;Cross Country Skiing;4 ? 5 kilometres Relay, Women;13;Ч
1994;Nataliya Shtaymets;Cross Country Skiing;4 ? 5 kilometres Relay, Women;Ч;Ч
1994;Yelena Chernetsova;Cross Country Skiing;4 ? 5 kilometres Relay, Women;Ч;Ч
1994;Oksana Kotova;Cross Country Skiing;4 ? 5 kilometres Relay, Women;Ч;Ч
1994;Yelena Volodina;Cross Country Skiing;4 ? 5 kilometres Relay, Women;Ч;Ч
1994; омандное соревнование;Figure Skating;Ice Dancing, Mixed;18;Ч
