Федерация;Адрес;Контакты
ОО «Сурдлимпийский комитет»;г. Караганда, ул. Степная 4;8 776 282 03 74
ОО «Спешиал Олимпикс»;г. Алматы, Сатпаева 29/3, под. 4, офисы 6 и 3;700 973 49 46
ОО «Федерация бадминтона Республики Казахстан»;г. Алматы, пр. Абая 8Г;8 (727) 263 06 57
РОО «Национальная Федерация баскетбола»;г. Нур-Султан, пр. Туран 18, блок А, офис 607;8 (7172) 555 139
ОЮЛ «Союз биатлонистов Казахстана»;г. Нур-Султан, ул. Туран, 18, офис 504;8 (7172) 91 15 30
ОЮЛ «Казахстанская Федерация бокса»;г. Нур-Султан, пр. Туран 18, офис 901;8 (7172) 57 00 10
ОО «Федерация велосипедного спорта Республики Казахстан»;г. Нур-Султан, ул. Акжунис 7;8 (7172) 95 40 06
ОО «Федерация водных видов спорта Республики Казахстан»;г. Алматы, пр. Абая, 48;8 (727) 390 70 40
ОО «Федерация волейбола Республики Казахстан»;г. Алматы, пр. Абая, 48;8 (727) 225 16 05
РОО «Федерация Кайык»;г. Алматы, пр. Райымбека 174;8 (7172) 526 720
ОО «Федерация дзюдо Республики Казахстан»;г. Нур-Султан, пр.Туран, 18, блок Б, оф. 205;8 (7172) 79 90 45
ОО «Ассоциация керлинга Республики Казахстан»;г. Алматы, ул. Амангельды, д. 4;8 701 014 28 21
ОЮЛ «Федерация Каратэ»;г. Нур-Султан, пр. Туран 18, офис 406/1;8 (7172) 24 81 27
РОО «Федерация конного спорта Казахстана»;г. Нур-Султан, ул. Енлик Кебек 7;8 (7172) 74 02 01
ОО «Федерация легкой атлетики Республики Казахстан»;г. Нур-Султан, ул. Туран 18, блок «Б», офис 701;8 (7172) 57 00 36
Национальная лыжная ассоциация Республики Казахстан;г. Алматы, пр. Аль-Фараби, 128/8;8 (727) 396 92 35
ОО «Федерация настольного тенниса»;г. Нур-Султан, пр. Туран, 18, каб. 1006;8 (7172) 76 96 29
ОО «Федерация парусного спорта Республики Казахстан»;г. Капшагай, 1 мкр-н, дом 20, кв 20;8 (72772) 4 22 98
Национальная ассоциация регби Казахстана;г. Алматы, Абая 159, корпус 4, офис 1;8 (727) 394 32 02
ОО «Республиканская Федерация санного спорта»;г. Алматы, ул. Фонвизина 30;8 (727) 245 93 84
ОЮЛ «Федерация альпинизма и скалолазания»;г. Алматы, ул. Кастеева;8 (727) 291 60 06
РОО «Федерация стрельбы из лука, арбалета и дартса»;г. Нур-Султан, пр. Туран, 18, блок Б, офис 704;8 (778) 658 10 65
ОО «Казахстанская федерация спортивной стрельбы»;г. Алматы, пр. Сейфуллина, 174;8 (7272) 94-43-34
ОО «Федерация таеквондо Республики Казахстан»;г. Нур-Султан, пр. Туран 18;8 (7172) 27 84 70
РОО «Федерация тенниса Казахстана»;г. Нур-Султан, ул. Желтоксан 1;8 (7172) 39 03 85
ОО «Казахстанская федерация триатлона»;г. Нур-Султан, проспект Кабанбай батыра, 53;8 777 306 77 11
ОО «Федерация тяжелой атлетики»;г. Нур-Султан, пр. Туран д.18, блок Б, каб. 203;8 (7172) 76 90 03
РОО «Национальная Федерация фехтования»;г. Алматы, пр. Достык д.132, офис 2;8 777 749 22 59
ОЮЛ Ассоциация «Федерация футбола Казахстана»;г. Алматы, ул. Фурманова 30;8 (727) 291 10 06
ОО «Федерация таеквондо Республики Казахстан»;г. Нур-Султан, пр. Туран 18,;8 (7172) 27 84 70
РОО «Федерация тенниса Казахстана»;г. Нур-Султан,ул. Желтоксан 1;8 (7172) 39 03 85
ОО «Казахстанская федерация триатлона»;г. Нур-Султан, проспект Кабанбай батыра, 53;8 777 306 77 11
ОО «Федерация тяжелой атлетики»;г. Нур-Султан, пр. Туран д.18,блок Б. каб. 203;8 (7172) 76 90 03
РОО «Национальная Федерация фехтования»;г. Алматы, пр.Достык д.132, офис 2;8 777 749 22 59
ОЮЛ Ассоциация «Федерация футбола Казахстана»;г.Нур-Султан, пр. Б.Момышулы 5 А;8 (7172) 79 07 80
РОО «Казахстанская федерация хоккея с шайбой»;г. Нур-Султан, ул. Кунаева, 12/1, офис 508;8 (7172) 60 50 41
;;8 (7172) 60 50 44
ОО «Қазахстанская Федерация шахмат»;г. Алматы, пр. Аль-Фараби 36,БЦ «AFD», Блок Б, 3 этаж;8(727) 346 85 64
РОО «Казахстанская федерация шашек»;Карагандинская область, г. Абай, ул. Ленина, 31;87 015 574 675
«Ассоциация федераций спортивного танца РК»;г. Нур-Султан ул. Бараева, 13;
