Атлет(ы);Вид спорта;Дисциплина;Место;Год
Любовь Воробьева;лыжные гонки;;2;1994
Олег Сысолятин;лыжные гонки;1 км, спринт классическим стилем, стоя;31(отбор);2010
;;10 км классическим стилем, стоя;26;2010
Сергей Харламов;Лёгкая атлетика;100 м (T36);6 (отбор);2012
;;Прыжок в длину (F36);8;2012
Ислам Салимов;Лёгкая атлетика;400 м (T13);6 (отбор);2012
;;Прыжок в длину (F13);12;2012
Айнур Байдулдаева;Лёгкая атлетика;100 м (T36);6 (отбор);2012
;;200 м (T36);5 (отбор);2012
Айбек Абжан;Пауэрлифтинг;До 60 кг;9;2012
Кабира Аскарова;Пауэрлифтинг;До 44 кг;7;2012
Ануар Ахметов;Плавание;50 м вольный стиль (S12);12 (отбор);2012
;;100 м на спине (S12);11 (отбор);2012
;;100 м брасс (S12);12 (отбор);2012
;;100 м баттерфляй (SB12);16 (отбор);2012
Зульфия Габидуллина;Плавание;50 м на спине (S4);12 (отбор);2012
Кайрат Канафин;Биатлон;7, 5 км;17;2014
Кайрат Канафин;Лыжные гонки;"1 км. Свободный стиль
10 км";"13(отбор)
17";2014
Александр Колядин;Лыжные гонки;"20 км свободным стилем, стоя
спринт";"13
33";2014
Ерлан Омаров;Лыжные гонки;10 км стоя свободный стиль;38;2014
Елена Мазуренко;Лыжные гонки;"5 км свободный стил стоя 
1 км свободный стиль стоя ";"18
16(отбор)";2014
Жаныл Балтабаева;Лыжные гонки;;;2014
Ануар Сариев;Дзюдо;До 60 кг;—;2016
Куралбай Орынбасар;Дзюдо;До 73 кг;—;2016
Аманат Калкаев;Лёгкая атлетика;Прыжки в длину (T37);10;2016
Вадим Дукарт;Пауэрлифтинг;До 97 кг;8;2016
Гульбану Абдыхалыкова;Пауэрлифтинг;До 50 кг;7;2016
Раушан Койшибаева;Пауэрлифтинг;До 67 кг;2;2016
Ануар Ахметов;Плавание;50 м вольным стилем (S12);13 (отбор);2016
;;100 м вольным стилем (S13);17 (отбор);2016
;;100 м на спине (S12);8;2016
;;100 м брассом (SB12);4;2016
;;100 м баттерфляем (S13);19 (отбор);2016
Роман Агалаков;Плавание;50 м вольным стилем (S13);16 (отбор);2016
;;100 м вольным стилем (S13);15 (отбор);2016
;;100 м баттерфляем (S13);13 (отбор);2016
;;200 м комплекс (M137);12 (отбор);2016
;;100 м брассом (SB7);9 (отбор);2016
Зульфия Габидулина;Плавание;50 м вольным стилем, S4;4;2016
;;100 м вольным стилем, S3;1;2016
;;50 м на спине, S3;6;2016
;;50 м брассом, SB3;12(отбор);2016
;;150 м комплекс, SM4;7;2016
Наталья Звягинцева;Плавание;100 м на спине, S6;7;2016
Александр Герлиц;Лыжные гонки;20 км свободным стилем, стоя;4;2018
;Биатлон;12,5 км, стоя;6;2018
;;7,5 км, стоя;7;2018
;;15 км, стоя;7;2018
Кайрат Канафин;Биатлон;7,5 км, с нарушением зрения;17;2018
;;12,5 км, с нарушением зрения;14;2018
;;15 км, с нарушением зрения;14;2018
Сергей Усольцев;Биатлон;7,5 км, сидя;16;2018
;;12,5 км, сидя;11;2018
;;15 км, сидя;13;2018
;Лыжные гонки;1,1 км, спринт, сидя;25(квалификация);2018
;;7,5 км, сидя;20;2018
;;15 км, сидя;15;2018
Денис Петренко;Лыжные гонки;1,1 км, спринт, сидя;13(квалификация);2018
;;7,5 км, сидя;13;2018
;;15 км, сидя;12;2018
Жаныл Балтабаева;Лыжные гонки;1,1 км, спринт, сидя;20(квалификация);2018
;;5 км,, сидя;20;2018
;;12 км, сидя;17;2018
Жанбота Аманжол;Дзюдо;до 90 кг;5;2020
Темиржан Даулет;Дзюдо; до 73 кг;2;2020
 Ануар Сариев;Дзюдо;до 60кг;2;2020
Галымжан Смагулулы;Дзюдо;до 81 кг;9;2020
Ерлан Утепов;Дзюдо;до 100кг;9;2020
Зарина Байбатина;Дзюдо;свыше 70кг;2;2020
 Даяна Федосова;Дзюдо;до 57 кг;7;2020
Дастан Мукашбеков;Лёгкая атлетика;ядро, F36;6;2020
Салтанат Абилхасымкызы;Лёгкая атлетика;"100 м, Т35
200 м, Т35";"9(квалификация)
9";2020
Бибарыс Спатай;Параканоэ;каяк-одиночка, 200 м, KL2;9;2020
 Давид Дегтярёв;Пауэрлифтинг;до 54 кг;1;2020
Рахметжан Хамаев;Пауэрлифтинг;до 88 кг;5;2020
 Гульбану Абдыхалыкова;Пауэрлифтинг;до 50 кг;7;2020
Раушан Койшибаева;Пауэрлифтинг;до 67 кг;4;2020
Алина Солодухина;Пауэрлифтинг;до 45 кг;5;2020
 Роман Агалаков;Плавание ;"50 м брассом, SB13
100 м баттерфляем";"15(квалификация)
11(квалификация)";2020
 Сиязбек Далиев;Плавание ;"50 м вольным стилем, S5
50 м на спине, S5
50 м баттерфляем, S5";"9(квалификация)
12(квалификация)
5";2020
Нурдаулет Жумагали;Плавание ;"50 м вольным стилем, S13
100 м брассом, SB13
 200 м комплекс, SM13";"16(квалификация)
3
14(квалификация)";2020
Ержан Салимгереев;Плавание ;"100 м вольным стилем, S6
 50 м баттерфляем, S6
100 м брассом, SB13";"11(квалификация)
6
8";2020
 Нурали Советканов;Плавание ;100 м брассом, SB13;8;2020
 Зульфия Габидулина;Плавание ;" 50 м вольным стилем, S4
50 м на спине, S4
150 м комплекс, SM4";"8
15(квалификация)
15(квалификация)";2020
Алия Рахимбекова;Плавание ;"100 м вольным стилем, S12
100 м на спине, S12
100 м брассом, S12";"10(квалификация)
8
7";2020
Айсулу Джумабаева;стрельба;пневматический пистолет, 10 м, SH1;13(квалификация);2020
Нурлан Домбаев;Тхэквондо;до 75 кг;5;2020
